2021

132.5, 0, 0
7, 0, 1110
24.5, 1, 626
21, 1, 878
135.5, 2, 2
24, 2, 96
1, 3, 1322
150.5, 4, 4
24.5, 4, 1206
11, 5, 1238
109.5, 6, 6
6, 7, 1002
15, 7, 1426
152, 8, 8
8.5, 8, 252
22, 8, 1760
3.5, 9, 276
125.5, 10, 10
25, 10, 1788
14.5, 11, 80
22, 11, 862
134, 12, 12
11, 12, 576
4, 13, 738
110.5, 14, 14
10, 14, 1734
9, 15, 134
1.5, 15, 1174
137, 16, 16
12, 16, 262
11, 17, 198
4.5, 17, 934
125.5, 18, 18
2.5, 19, 872
147, 20, 20
14, 20, 1338
10.5, 21, 1010
16, 21, 1742
167, 22, 22
11, 22, 1156
11.5, 23, 1232
5, 23, 1464
134, 24, 24
22, 25, 1658
131.5, 26, 26
8, 26, 664
21.5, 27, 1944
132, 28, 28
5.5, 28, 202
9.5, 28, 898
16.5, 28, 1214
22.5, 29, 1746
139, 30, 30
14, 30, 516
24.5, 30, 1242
11, 31, 1106
142, 32, 32
11, 32, 892
21.5, 32, 976
9, 32, 1626
5, 33, 254
139, 34, 34
8.5, 34, 822
1.5, 34, 1084
23.5, 35, 954
141, 36, 36
8.5, 36, 170
12.5, 36, 172
18.5, 37, 1994
127, 38, 38
16, 38, 482
10.5, 38, 584
24, 39, 328
1, 39, 1686
146.5, 40, 40
17.5, 40, 1174
20, 41, 152
10, 41, 818
22, 41, 924
25.5, 41, 1394
147, 42, 42
19, 42, 1194
24, 42, 1438
143.5, 44, 44
2, 44, 1334
14, 44, 1394
17, 45, 344
116.5, 46, 46
7.5, 47, 1626
115.5, 48, 48
10, 49, 1058
154, 50, 50
1, 50, 1154
12.5, 50, 1464
19, 50, 1698
7.5, 51, 1926
129.5, 52, 52
17, 52, 1914
21.5, 53, 1720
146.5, 54, 54
13, 54, 1026
13.5, 55, 158
121, 56, 56
20.5, 56, 1930
25.5, 57, 1284
21, 57, 1680
124, 58, 58
14, 58, 1324
5.5, 58, 1602
5, 59, 758
12, 59, 1330
12.5, 59, 1802
137, 60, 60
4, 60, 1434
11, 60, 1526
4, 61, 1932
119.5, 62, 62
16.5, 62, 1040
25.5, 63, 242
121, 64, 64
7.5, 65, 2000
141.5, 66, 66
9, 66, 382
25, 66, 1212
19, 67, 1152
158, 68, 68
6, 68, 264
9.5, 68, 1538
17.5, 68, 1872
20.5, 69, 386
19.5, 69, 1262
13, 69, 1604
107.5, 70, 70
11, 71, 224
150, 72, 72
141, 74, 74
15, 74, 1176
25.5, 74, 1734
18.5, 75, 604
15.5, 75, 1284
140, 76, 76
15.5, 76, 200
17.5, 76, 442
6.5, 76, 798
20, 77, 388
24, 77, 870
20, 77, 1314
136.5, 78, 78
13, 78, 1204
102.5, 80, 80
20, 81, 400
125, 82, 82
3, 83, 704
7.5, 83, 1988
118.5, 84, 84
11.5, 84, 230
22.5, 86, 46
176, 86, 86
10.5, 86, 596
19.5, 86, 732
17.5, 87, 742
17, 87, 906
124, 88, 88
1, 88, 1264
22, 89, 1214
13.5, 89, 1304
122, 90, 90
21.5, 90, 160
16.5, 91, 190
123.5, 92, 92
8.5, 92, 1312
12.5, 92, 1644
10.5, 93, 112
126, 94, 94
25.5, 94, 856
16, 95, 1268
115.5, 96, 96
10.5, 96, 1440
4.5, 96, 1920
14, 97, 1568
132.5, 98, 98
18.5, 98, 974
21, 99, 234
136, 100, 100
4, 100, 1186
7.5, 101, 8
3.5, 101, 1298
125.5, 102, 102
25, 102, 1820
1, 103, 1320
187, 104, 104
25.5, 104, 210
21.5, 104, 1462
7.5, 105, 32
15.5, 105, 742
133.5, 106, 106
10.5, 107, 266
1.5, 107, 334
1.5, 107, 586
7, 107, 1048
113, 108, 108
12.5, 108, 348
18.5, 109, 1710
168, 110, 110
20.5, 110, 404
22.5, 111, 462
19, 111, 954
155.5, 112, 112
24, 112, 376
13, 112, 1044
14, 113, 404
17, 113, 1304
8.5, 113, 1344
161.5, 114, 114
15, 114, 142
17, 114, 518
22.5, 114, 922
6.5, 114, 1366
6, 115, 1676
151.5, 116, 116
20.5, 116, 704
2, 116, 1002
23.5, 116, 1502
14.5, 117, 264
166, 118, 118
23.5, 118, 858
21.5, 118, 960
11, 118, 1458
123, 120, 120
22.5, 120, 2002
5.5, 121, 470
21.5, 121, 1810
133, 122, 122
6.5, 122, 686
13, 123, 578
11.5, 124, 24
124.5, 124, 124
15.5, 125, 534
2.5, 125, 1426
134.5, 126, 126
2.5, 126, 272
16, 126, 354
2.5, 126, 1404
17, 127, 502
5.5, 127, 1164
24, 127, 1236
125, 128, 128
14, 128, 1378
23.5, 129, 282
13, 129, 1782
119.5, 130, 130
11.5, 131, 578
24, 131, 1038
9, 131, 1910
132.5, 132, 132
7.5, 132, 542
120.5, 134, 134
134.5, 136, 136
11.5, 136, 1726
17.5, 137, 998
2.5, 137, 1726
22.5, 137, 1880
128, 138, 138
16, 138, 772
11.5, 138, 1460
112.5, 140, 140
7, 141, 224
2.5, 141, 1322
2.5, 141, 1384
146, 142, 142
7.5, 142, 282
18.5, 142, 582
14.5, 142, 1054
21, 143, 128
144, 144, 144
20, 144, 1570
134, 146, 146
4, 146, 818
177, 148, 148
22.5, 148, 1968
7.5, 149, 1918
132.5, 150, 150
11.5, 150, 1750
6.5, 151, 642
5, 151, 1122
123, 152, 152
10.5, 153, 1858
138, 154, 154
8, 155, 1782
135, 156, 156
15, 156, 1412
6.5, 157, 550
141, 158, 158
7.5, 160, 104
154.5, 160, 160
16, 160, 932
6, 160, 976
7, 161, 120
24.5, 161, 1420
149.5, 162, 162
25.5, 162, 372
21.5, 163, 390
14.5, 163, 850
12.5, 164, 104
167, 164, 164
25.5, 164, 544
18, 164, 1400
10.5, 164, 1812
25.5, 165, 56
144, 166, 166
13.5, 166, 528
12.5, 167, 1706
10.5, 167, 1774
137, 168, 168
1, 168, 486
15.5, 168, 1994
4, 169, 858
146.5, 170, 170
23.5, 170, 1574
15, 171, 40
20, 171, 352
123.5, 172, 172
19.5, 172, 744
19.5, 173, 22
24.5, 173, 254
9.5, 173, 728
8, 174, 158
152, 174, 174
9.5, 174, 706
25, 174, 840
9, 174, 1132
115.5, 176, 176
9.5, 176, 1696
19.5, 177, 780
21.5, 177, 888
18, 178, 124
146.5, 178, 178
6.5, 178, 280
5, 178, 916
13, 179, 1460
113.5, 180, 180
5.5, 181, 404
3, 181, 928
12, 181, 1032
23, 181, 1602
128.5, 182, 182
134, 184, 184
17.5, 184, 498
16, 184, 756
16.5, 185, 1394
3.5, 185, 1872
140.5, 186, 186
14.5, 186, 1866
19, 187, 852
24.5, 187, 1042
135.5, 188, 188
9.5, 188, 420
24.5, 188, 798
7, 189, 1056
15.5, 190, 66
141, 190, 190
14.5, 191, 144
151.5, 192, 192
20, 192, 494
5, 192, 638
23, 192, 1308
3, 192, 1426
24, 193, 624
18, 193, 1232
1, 193, 1872
170, 194, 194
16.5, 194, 988
19, 194, 1502
15.5, 194, 1588
17.5, 195, 1044
16.5, 195, 1416
151, 196, 196
11, 196, 862
23, 196, 1092
16.5, 196, 1742
126, 198, 198
10.5, 198, 1688
23.5, 199, 218
115.5, 200, 200
2.5, 201, 1334
169, 202, 202
2.5, 202, 516
17, 202, 1920
113, 204, 204
9, 205, 224
1.5, 205, 622
5, 205, 752
171, 206, 206
7.5, 206, 1228
17.5, 206, 1496
5, 207, 1646
121, 208, 208
4, 208, 1282
6, 208, 1814
10, 209, 1810
122.5, 210, 210
22, 210, 662
16, 211, 448
25.5, 211, 1224
125, 212, 212
22, 213, 478
131, 214, 214
1.5, 215, 1326
9, 215, 1910
109.5, 216, 216
14, 217, 1156
19.5, 217, 1438
121, 218, 218
20.5, 218, 494
21, 219, 1342
7, 219, 1848
138, 220, 220
20, 220, 256
17.5, 220, 1150
5.5, 221, 1546
19.5, 221, 1634
149.5, 222, 222
12, 222, 280
16.5, 222, 466
3, 222, 1130
110.5, 224, 224
6, 224, 1326
5.5, 225, 894
170, 226, 226
18.5, 226, 816
24, 226, 1786
10.5, 227, 2006
106, 228, 228
5.5, 228, 1054
160, 230, 230
19.5, 230, 862
12, 230, 1580
19, 230, 1610
14, 231, 636
170, 232, 232
124, 234, 234
14.5, 234, 1496
24.5, 235, 798
5, 235, 1188
